,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
364,RBCAA,"Republic Bancorp, Inc.",911.66M,1.77%,45889,312.61M
365,BY,"Byline Bancorp, Inc.",901.33M,0.15%,187392,355.28M
366,OBK,"Origin Bancorp, Inc.",887.20M,1.22%,225524,341.14M
367,MTAL,Metals Acquisition Corp,877.33M,3.48%,145884,302.46M
368,GHLD,Guild Holdings Company,877.07M,0.70%,3591,655.19M
369,OCFC,OceanFirst Financial Corp.,867.21M,2.04%,548671,385.68M
370,BSIG,BrightSphere Investment Group Inc.,865.79M,-0.31%,156174,426.60M
371,LC,LendingClub Corporation,857.34M,-0.13%,701306,864.62M
372,HG,"Hamilton Insurance Group, Ltd.",839.98M,-3.11%,756835,1.57B
373,BFC,Bank First Corporation,832.95M,-0.07%,42714,186.91M
374,SBSI,"Southside Bancshares, Inc.",829.31M,0.73%,309442,241.71M
375,BRKL,"Brookline Bancorp, Inc.",824.94M,0.54%,1044411,333.44M
376,SLRC,SLR Investment Corp.,822.68M,0.33%,350024,229.31M
377,CGBD,"Carlyle Secured Lending, Inc.",816.74M,-,259320,241.63M
378,AMTB,Amerant Bancorp Inc.,811.42M,1.20%,175859,352.68M
379,GRNT,"Granite Ridge Resources, Inc",804.87M,0.81%,295326,394.07M
380,LPRO,Open Lending Corporation,791.72M,-0.74%,569056,117.46M
381,ABL,"Abacus Life, Inc.",784.27M,-1.15%,31197,66.37M
382,ECC,Eagle Point Credit Company Inc.,781.62M,-0.10%,450732,122.65M
383,BRDG,Bridge Investment Group Holdings Inc.,774.83M,-0.78%,581631,259.81M
384,WRLD,World Acceptance Corporation,770.68M,0.51%,58883,575.18M
385,CFFN,"Capitol Federal Financial, Inc.",760.94M,2.46%,2151486,-41.97M
386,LBAI,"Lakeland Bancorp, Inc.",758.97M,4.22%,1258255,293.77M
387,FBMS,"The First Bancshares, Inc.",755.40M,1.28%,1155301,281.53M
388,ALTI,"AlTi Global, Inc.",754.77M,-0.63%,543320,183.89M
389,CNOB,"ConnectOne Bancorp, Inc.",749.26M,0.43%,416350,260.91M
390,BITF,Bitfarms Ltd.,738.48M,2.26%,26003113,146.37M
391,LDI,"loanDepot, Inc.",727.61M,-2.73%,335276,915.05M
392,AC,"Associated Capital Group, Inc.",715.91M,2.07%,6866,14.59M
393,FMBH,"First Mid Bancshares, Inc.",708.56M,1.28%,161214,274.15M
394,CTBI,"Community Trust Bancorp, Inc.",701.91M,0.54%,138366,223.96M
395,AMAL,Amalgamated Financial Corp.,699.89M,1.22%,551294,275.98M
396,DCOM,"Dime Community Bancshares, Inc.",696.56M,1.06%,559287,350.01M
397,GHIX,"Gores Holdings IX, Inc.",695.63M,-,14,-
398,TIGR,UP Fintech Holding Limited,690.01M,-2.26%,1286767,228.23M
399,TRIN,Trinity Capital Inc.,686.11M,0.89%,926956,181.86M
400,TMP,Tompkins Financial Corporation,684.00M,1.98%,227741,215.42M
401,PFLT,PennantPark Floating Rate Capital Ltd.,683.45M,0.48%,565558,145.97M
402,PFC,Premier Financial Corp.,678.15M,0.47%,577202,302.71M
403,AMBC,"Ambac Financial Group, Inc.",677.03M,0.40%,498094,269.00M
404,ROOT,"Root, Inc.",674.23M,14.31%,979489,455.00M
405,NOAH,Noah Holdings Limited,670.20M,-4.43%,1860503,464.55M
406,EGBN,"Eagle Bancorp, Inc.",650.96M,1.75%,1638136,280.81M
407,HUT,Hut 8 Mining Corp.,644.09M,4.14%,5532111,116.50M
408,AACT,Ares Acquisition Corporation II,639.44M,0.05%,14682,-
409,HFWA,Heritage Financial Corporation,637.74M,0.60%,585849,239.54M
410,CCAP,"Crescent Capital BDC, Inc.",633.94M,1.24%,96480,184.13M
411,AMRK,"A-Mark Precious Metals, Inc.",633.07M,0.04%,323533,10.00B
412,CFB,"CrossFirst Bankshares, Inc.",629.15M,2.20%,376438,231.02M
413,TIPT,Tiptree Inc.,625.68M,1.06%,171428,1.65B
414,PRA,ProAssurance Corporation,611.14M,-0.08%,276423,1.14B
415,HBT,"HBT Financial, Inc.",607.55M,1.17%,42933,219.55M
416,MCBS,"MetroCity Bankshares, Inc.",605.44M,4.04%,66943,119.70M
417,VINP,Vinci Partners Investments Ltd.,602.86M,1.33%,48174,93.31M
418,NBBK,"NB Bancorp, Inc.",596.60M,0.22%,2422248,-
419,SUPV,Grupo Supervielle S.A.,596.20M,6.65%,1678149,626.77M
420,FCBC,"First Community Bankshares, Inc.",594.20M,0.90%,99249,157.15M
421,CION,CION Investment Corporation,592.95M,-,889308,251.01M
422,GSBC,"Great Southern Bancorp, Inc.",590.49M,2.50%,79251,226.37M
423,IGIC,International General Insurance Holdings Ltd.,590.21M,3.41%,140423,472.00M
424,FDUS,Fidus Investment Corporation,589.33M,1.04%,520384,130.11M
425,TCPC,BlackRock TCP Capital Corp.,587.49M,-0.20%,701466,209.33M
426,SAGA,Sagaliam Acquisition Corp.,586.89M,-0.09%,7,-
427,OSBC,"Old Second Bancorp, Inc.",584.21M,1.15%,344693,269.61M
428,MBWM,Mercantile Bank Corporation,578.91M,1.19%,197567,217.99M
429,EZPW,"EZCORP, Inc.",576.36M,-,342630,1.08B
430,UVSP,Univest Financial Corporation,572.56M,0.88%,186640,286.05M
431,UVE,"Universal Insurance Holdings, Inc.",570.33M,0.86%,366605,1.39B
432,VEL,"Velocity Financial, Inc.",561.35M,0.41%,41381,152.00M
433,BFST,"Business First Bancshares, Inc.",549.47M,-1.98%,222505,247.29M
434,UFCS,"United Fire Group, Inc.",549.02M,1.70%,262426,1.10B
435,QD,Qudian Inc.,548.75M,1.64%,2170886,30.62M
436,RILY,"B. Riley Financial, Inc.",540.55M,0.11%,1733903,1.79B
437,PSBD,Palmer Square Capital BDC Inc.,534.84M,1.36%,28528,112.22M
438,HBNC,"Horizon Bancorp, Inc.",523.10M,-0.08%,447546,220.44M
439,APLD,Applied Digital Corporation,516.25M,6.38%,5765364,114.65M
440,MSBI,"Midland States Bancorp, Inc.",505.77M,-0.09%,197388,281.48M
441,GCBC,"Greene County Bancorp, Inc.",505.19M,-9.77%,20741,68.41M
442,TREE,"LendingTree, Inc.",502.02M,-1.45%,461671,672.50M
443,TRST,TrustCo Bank Corp NY,501.86M,2.27%,178319,188.91M
444,IBCP,Independent Bank Corporation,501.31M,1.74%,169044,200.80M
445,CPF,Central Pacific Financial Corp.,499.00M,1.25%,398686,240.97M
446,WULF,TeraWulf Inc.,498.65M,6.59%,12426281,55.51M
447,HTBK,Heritage Commerce Corp,497.31M,-,857815,191.47M
448,GAIN,Gladstone Investment Corporation,496.36M,0.65%,140732,83.52M
449,CATC,Cambridge Bancorp,491.58M,2.87%,96822,161.63M
450,EQBK,"Equity Bancshares, Inc.",486.76M,1.25%,60606,138.02M
451,GDOT,Green Dot Corporation,481.28M,0.55%,934727,1.50B
452,CCB,Coastal Financial Corporation,479.75M,0.39%,103781,261.00M
453,IREN,Iris Energy Limited,474.39M,0.88%,7901423,85.48M
454,SMBC,"Southern Missouri Bancorp, Inc.",474.38M,2.83%,47232,153.93M
455,AMNB,American National Bankshares Inc.,473.93M,2.06%,42650,105.22M
456,FMNB,Farmers National Banc Corp.,470.07M,0.32%,347487,170.49M
457,RWAY,Runway Growth Finance Corp.,469.91M,1.90%,533445,164.21M
458,YRD,Yiren Digital Ltd.,469.65M,0.57%,47494,647.79M
459,WDH,Waterdrop Inc.,465.68M,-5.74%,534167,364.62M
460,ALCC,AltC Acquisition Corp.,465.49M,-0.56%,131326,-
461,ACIC,American Coastal Insurance Corporation,460.11M,1.60%,176489,341.80M
462,CCBG,"Capital City Bank Group, Inc.",459.67M,-1.51%,121652,220.88M
463,CAC,Camden National Corporation,455.36M,-0.06%,141860,161.20M
464,HTBI,"HomeTrust Bancshares, Inc.",450.77M,-0.28%,86798,186.41M
465,HAFC,Hanmi Financial Corporation,446.44M,1.16%,1399523,251.11M
466,BETR,Better Home & Finance Holding Company,446.35M,18.96%,2461912,450.55M
467,HONE,"HarborOne Bancorp, Inc.",446.26M,2.04%,339328,163.45M
468,GLAD,Gladstone Capital Corporation,445.53M,1.56%,323595,90.36M
469,DGICA,Donegal Group Inc.,442.07M,7.41%,511949,927.34M
470,DGICB,Donegal Group Inc.,441.41M,-4.39%,3000,927.34M
471,ATLC,Atlanticus Holdings Corporation,438.55M,0.33%,35109,354.81M
472,ANSC,Agriculture & Natural Solutions Acquisition Corporation,438.15M,0.10%,4530,-
473,PNNT,PennantPark Investment Corporation,437.66M,0.45%,462367,149.74M
474,THFF,First Financial Corporation,434.17M,0.46%,121853,202.67M
475,SLAM,Slam Corp.,434.03M,-,6,-
476,WASH,"Washington Trust Bancorp, Inc.",428.90M,0.76%,289076,190.04M
477,DHIL,"Diamond Hill Investment Group, Inc.",427.08M,-0.16%,30188,136.72M
478,ALRS,Alerus Financial Corporation,422.78M,-1.40%,102586,166.01M
479,FFWM,First Foundation Inc.,421.25M,-4.10%,572480,252.14M
480,CRD.B,Crawford & Company,420.48M,-8.86%,115877,1.32B
481,CRD.A,Crawford & Company,420.40M,0.70%,285879,1.32B
482,GLRE,"Greenlight Capital Re, Ltd.",419.04M,-,115798,667.08M
483,GFR,Greenfire Resources Ltd,415.97M,-0.39%,1299,-
484,HIPO,Hippo Holdings Inc.,415.96M,2.45%,145268,209.70M
485,GBLI,"Global Indemnity Group, LLC",413.33M,-1.71%,14005,574.50M
486,SPFI,"South Plains Financial, Inc.",412.89M,2.62%,57960,219.41M
487,NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",412.19M,2.27%,541190,135.21M
488,MCB,Metropolitan Bank Holding Corp.,412.11M,0.70%,140277,238.46M
489,PGC,Peapack-Gladstone Financial Corporation,410.08M,1.08%,176321,215.58M
490,CCNE,CNB Financial Corporation,406.89M,1.78%,111198,217.17M
491,OPY,Oppenheimer Holdings Inc.,404.69M,2.23%,36343,1.25B
492,NETD,Nabors Energy Transition Corp. II,396.88M,-0.10%,4654,-
493,ESQ,"Esquire Financial Holdings, Inc.",393.67M,-0.80%,97918,105.34M
494,AROW,Arrow Financial Corporation,391.32M,0.38%,92505,130.57M
495,FSBC,Five Star Bancorp,391.15M,0.71%,47542,114.39M
496,LCAA,L Catterton Asia Acquisition Corp,391.06M,2.43%,107534,-
497,CSTR,"CapStar Financial Holdings, Inc.",388.59M,1.18%,279619,111.18M
498,HCVI,Hennessy Capital Investment Corp. VI,387.97M,-,8473,-
499,NBN,Northeast Bank,385.35M,2.69%,50426,142.81M
500,BHRB,Burke & Herbert Bank & Trust Company,385.25M,1.45%,43554,-
501,HRZN,Horizon Technology Finance Corporation,385.08M,1.04%,494390,113.48M
502,GHI,Greystone Housing Impact Investors LP,381.24M,0.06%,33133,104.90M
503,KRNY,Kearny Financial Corp.,379.53M,0.51%,1070556,148.37M
504,SMMF,"Summit Financial Group, Inc.",376.86M,0.24%,67300,165.20M
505,BHB,Bar Harbor Bankshares,368.69M,2.10%,84567,150.60M
506,VALU,"Value Line, Inc.",368.22M,-1.43%,3413,39.04M
507,SHBI,"Shore Bancshares, Inc.",360.80M,-0.92%,221747,121.69M
508,RRAC,Rigel Resource Acquisition Corp.,357.26M,-,246117,-
509,HIFS,Hingham Institution for Savings,354.86M,1.13%,19644,161.23M
510,TPVG,TriplePoint Venture Growth BDC Corp.,346.86M,-0.33%,337445,137.49M
511,GNTY,"Guaranty Bancshares, Inc.",346.45M,3.82%,19025,121.56M
512,XPDB,Power & Digital Infrastructure Acquisition II Corp.,345.24M,6.13%,12678,-
513,MOFG,"MidWestOne Financial Group, Inc.",344.78M,2.65%,90535,156.75M
514,SMBK,"SmartFinancial, Inc.",344.20M,2.22%,82267,155.80M
515,RRBI,"Red River Bancshares, Inc.",340.47M,1.08%,20637,108.13M
516,FFIC,Flushing Financial Corporation,335.71M,2.67%,551813,185.29M
517,SVII,Spring Valley Acquisition Corp. II,334.88M,-0.18%,78,-
518,MBI,MBIA Inc.,330.00M,1.08%,1005061,7.00M
519,MPB,"Mid Penn Bancorp, Inc.",329.82M,4.22%,61210,166.56M
520,MCBC,Macatawa Bank Corporation,327.47M,-1.89%,324674,105.34M
521,IPXX,Inflection Point Acquisition Corp. II,326.25M,-0.10%,11168,-
522,LX,LexinFintech Holdings Ltd.,319.12M,-4.64%,6639165,1.73B
523,RENE,Cartesian Growth Corporation II,318.84M,0.18%,1429,-
524,TYG,Tortoise Energy Infrastructure Corporation,315.63M,0.17%,53829,176.85M
525,BWB,"Bridgewater Bancshares, Inc.",313.13M,1.33%,164220,111.84M
526,FRBA,First Bank,313.10M,2.15%,115373,125.94M
527,RBB,RBB Bancorp,312.85M,2.14%,125004,130.94M
528,SCM,Stellus Capital Investment Corporation,311.94M,1.16%,161239,105.85M
529,IVCB,Investcorp Europe Acquisition Corp I,309.60M,0.09%,120907,-
530,SAR,Saratoga Investment Corp.,307.48M,0.80%,81399,138.80M
531,HYAC,Haymaker Acquisition Corp. III,307.30M,-0.29%,1978,-
532,NODK,"NI Holdings, Inc.",305.55M,8.03%,294240,364.61M
533,EBTC,"Enterprise Bancorp, Inc.",303.28M,2.23%,56950,161.44M
534,JWSM,Jaws Mustang Acquisition Corporation,301.45M,-,4264,-
535,FRST,Primis Financial Corp.,299.77M,0.34%,210636,133.22M
536,CARE,"Carter Bankshares, Inc.",296.02M,1.05%,109048,-
537,WHF,"WhiteHorse Finance, Inc.",295.90M,1.28%,47621,103.26M
538,ACNB,ACNB Corporation,293.99M,4.37%,40249,105.92M
539,ITIC,Investors Title Company,293.65M,1.38%,4552,236.56M
540,ASA,ASA Gold and Precious Metals Limited,291.47M,0.13%,142313,-5.60M
541,BCAL,Southern California Bancorp,284.05M,-0.13%,120565,-
542,FISI,"Financial Institutions, Inc.",281.52M,1.31%,94633,200.28M
543,CBNK,"Capital Bancorp, Inc.",280.54M,0.25%,33248,157.23M
544,WTBA,"West Bancorporation, Inc.",280.31M,3.94%,69315,78.40M
545,FBIZ,"First Business Financial Services, Inc.",279.76M,0.89%,33959,135.71M
546,SLQT,"SelectQuote, Inc.",279.69M,-1.20%,480906,1.16B
547,TRTL,TortoiseEcofin Acquisition Corp. III,279.61M,-0.37%,5220,-
548,HBCP,"Home Bancorp, Inc.",278.30M,2.78%,19639,132.99M
549,PFIS,Peoples Financial Services Corp.,276.93M,5.90%,57454,106.23M
550,HMST,"HomeStreet, Inc.",276.83M,0.54%,218872,209.12M
551,CZNC,Citizens & Northern Corporation,274.35M,3.64%,63260,104.63M
552,HIVE,HIVE Blockchain Technologies Ltd.,273.71M,4.07%,4466909,95.81M
553,ORRF,"Orrstown Financial Services, Inc.",273.48M,-0.50%,59042,129.91M
554,UNTY,"Unity Bancorp, Inc.",271.78M,4.55%,35169,99.97M
555,FANH,Fanhua Inc.,268.94M,-1.36%,14721,462.50M
556,PRLH,Pearl Holdings Acquisition Corp,268.75M,-,23378,-
557,TCBX,"Third Coast Bancshares, Inc.",268.60M,0.41%,74961,141.41M
558,BKCC,BlackRock Capital Investment Corporation,268.52M,-0.81%,226946,80.36M
559,INBK,First Internet Bancorp,268.33M,2.55%,52515,84.38M
560,BSRR,Sierra Bancorp,267.18M,2.05%,64376,137.27M
561,BMRC,Bank of Marin Bancorp,266.61M,2.18%,221445,105.52M
562,NEWT,Newtek Business Services Corp.,266.54M,1.11%,216580,166.20M
563,FMAO,"Farmers & Merchants Bancorp, Inc.",264.81M,1.19%,50241,95.69M
564,EMLD,FTAC Emerald Acquisition Corp.,264.32M,-0.10%,219,-
565,VBNK,VersaBank,262.77M,1.70%,16019,83.26M
566,MVBF,MVB Financial Corp.,262.27M,4.26%,64115,144.92M
567,LNKB,"LINKBANCORP, Inc.",261.57M,-1.12%,35819,34.25M
568,SBT,"Sterling Bancorp, Inc. (Southfield, MI)",260.87M,3.39%,55479,76.27M
569,GOCO,"GoHealth, Inc.",259.95M,-,20810,734.67M
570,OBT,"Orange County Bancorp, Inc.",258.66M,4.00%,23156,93.42M
571,FDBC,"Fidelity D & D Bancorp, Inc.",258.55M,5.25%,22279,80.94M
572,NRIM,"Northrim BanCorp, Inc.",256.83M,3.88%,35286,125.79M
573,PLAO,Patria Latin American Opportunity Acquisition Corp.,255.72M,-,126,-
574,JRVR,"James River Group Holdings, Ltd.",252.13M,17.48%,9666106,812.01M
575,FNLC,"The First Bancorp, Inc.",251.65M,2.30%,24623,79.46M
576,BSVN,Bank7 Corp.,250.27M,2.61%,33235,77.57M
577,CLBR,Colombier Acquisition Corp.,250.15M,-,127,-
578,SFST,"Southern First Bancshares, Inc.",248.52M,1.25%,37234,86.25M
579,FSBW,"FS Bancorp, Inc.",247.27M,0.84%,23845,135.92M
580,JMSB,"John Marshall Bancorp, Inc.",244.34M,4.58%,40822,43.41M
581,PLMJ,Plum Acquisition Corp. III,241.80M,0.85%,270,-
582,HRTG,"Heritage Insurance Holdings, Inc.",240.84M,4.45%,335946,735.50M
583,PBFS,"Pioneer Bancorp, Inc.",239.25M,0.54%,49329,78.37M
584,HLXB,Helix Acquisition Corp. II,238.25M,0.10%,172,-
585,FLIC,The First of Long Island Corporation,236.98M,2.18%,318151,93.53M
586,BTBT,"Bit Digital, Inc.",233.85M,5.24%,9090999,36.64M
587,CNDA,Concord Acquisition Corp II,228.08M,-,132477,-
588,BCML,BayCom Corp,227.21M,-1.32%,70589,110.29M
589,LEGT,Legato Merger Corp. III,226.88M,-0.10%,41254,-
590,RM,Regional Management Corp.,226.30M,1.03%,38946,551.40M
591,CIVB,"Civista Bancshares, Inc.",225.86M,4.06%,78514,163.55M
592,WSBF,"Waterstone Financial, Inc.",224.39M,1.70%,144815,130.74M
593,CVCY,Central Valley Community Bancorp,219.58M,0.65%,48740,89.05M
594,CONX,CONX Corp.,218.30M,-3.56%,980,-
595,USCB,"USCB Financial Holdings, Inc.",217.87M,-0.18%,31425,65.24M
596,SSBK,"Southern States Bancshares, Inc.",217.32M,1.30%,37960,82.90M
597,PCB,PCB Bancorp,216.94M,3.81%,47718,99.32M
598,SBXC,SilverBox Corp III,216.73M,-,64622,-
599,FVCB,"FVCBankcorp, Inc.",215.82M,-1.42%,50232,53.24M
600,BLFY,Blue Foundry Bancorp,214.46M,2.86%,158411,48.15M
601,CVLY,"Codorus Valley Bancorp, Inc.",212.33M,0.05%,49513,95.31M
602,NECB,"Northeast Community Bancorp, Inc.",212.17M,0.73%,87185,94.86M
603,PHYT,Pyrophyte Acquisition Corp.,211.49M,0.09%,55365,-
604,NWFL,Norwood Financial Corp.,210.05M,3.31%,22763,64.64M
605,PDLB,"Ponce Financial Group, Inc.",208.36M,0.91%,98061,59.62M
606,TSBK,"Timberland Bancorp, Inc.",208.03M,2.66%,23074,75.91M
607,CFFS,CF Acquisition Corp. VII,206.88M,0.18%,65,-
608,PLBC,Plumas Bancorp,205.70M,-1.18%,22378,77.07M
609,XYF,X Financial,204.64M,0.24%,3021,629.69M
610,SWKH,SWK Holdings Corporation,203.18M,8.39%,203965,37.67M
611,NFYS,Enphys Acquisition Corp.,203.10M,0.09%,15447,-
612,BWFG,"Bankwell Financial Group, Inc.",202.64M,0.67%,24423,98.44M
613,CHMG,Chemung Financial Corporation,199.91M,0.62%,15621,95.74M
614,PKBK,"Parke Bancorp, Inc.",198.99M,0.60%,37631,72.96M
615,SEDA,SDCL EDGE Acquisition Corporation,198.32M,-,13376,-
616,KVAC,Keen Vision Acquisition Corporation,198.12M,0.19%,25352,-
617,SEZL,Sezzle Inc.,197.85M,-3.05%,85049,159.36M
618,MCAA,Mountain & Co. I Acquisition Corp.,197.84M,-,19,-
619,COFS,"ChoiceOne Financial Services, Inc.",197.73M,1.58%,48701,80.64M
620,MNTN,Everest Consolidator Acquisition Corporation,196.71M,0.63%,112,-
621,OVLY,Oak Valley Bancorp,196.13M,1.44%,29363,85.01M
622,PMTS,CPI Card Group Inc.,195.98M,-1.63%,38451,444.55M
623,CZFS,"Citizens Financial Services, Inc.",195.06M,1.35%,25790,86.34M
624,NKSH,"National Bankshares, Inc.",193.91M,0.97%,31489,55.10M
625,CALB,California BanCorp,193.76M,-1.56%,14972,81.12M
626,CRML,Critical Metals Corp.,192.98M,-3.99%,34111,-
627,CBAN,"Colony Bankcorp, Inc.",190.22M,-0.65%,74099,111.79M
628,LCNB,LCNB Corp.,188.13M,9.80%,354131,72.49M
629,BPRN,Princeton Bancorp Inc,187.65M,1.55%,69307,83.99M
630,PEGR,Project Energy Reimagined Acquisition Corp.,187.32M,-0.09%,31,-
631,MBCN,Middlefield Banc Corp.,186.11M,3.09%,27340,68.96M
632,MFIN,Medallion Financial Corp.,185.52M,-2.17%,217583,161.60M
633,OCN,Ocwen Financial Corporation,185.27M,-2.61%,19097,1.07B
634,FFNW,"First Financial Northwest, Inc.",184.59M,2.49%,41608,43.52M
635,VSTE,Vast Renewables Limited,184.26M,-3.28%,8927,919.00K
636,SNFCA,Security National Financial Corporation,184.02M,4.14%,54499,351.77M
637,IVCA,Investcorp India Acquisition Corp,181.12M,-0.36%,73,-
638,OXSQ,Oxford Square Capital Corp.,179.62M,-1.29%,348385,51.41M
639,TRIS,Tristar Acquisition I Corp.,178.47M,-,357,-
640,EHTH,"eHealth, Inc.",176.52M,-2.95%,272847,452.87M
641,APCA,AP Acquisition Corp.,175.67M,0.08%,855,-
642,ESSA,"ESSA Bancorp, Inc.",174.26M,7.21%,51300,68.56M
643,PTMN,Portman Ridge Finance Corporation,174.17M,2.41%,117274,76.32M
644,ATLO,Ames National Corporation,173.73M,6.57%,53039,53.05M
645,CPSS,"Consumer Portfolio Services, Inc.",172.13M,-0.98%,79329,343.06M
646,WNEB,"Western New England Bancorp, Inc.",170.71M,-3.79%,102991,77.93M
647,EVE,EVe Mobility Acquisition Corp,170.23M,0.09%,7680,-
648,SKGR,SK Growth Opportunities Corporation,169.03M,-,10918,-
649,VERY,"Vericity, Inc.",168.66M,5.64%,34143,175.00M
650,SPKL,Spark I Acquisition Corp. Class A Ordinary Share,168.65M,0.10%,4900,-
651,BCBP,"BCB Bancorp, Inc.",167.37M,-1.52%,202353,102.05M
652,GAQ,Generation Asia I Acquisition Limited,167.31M,-,401890,-
653,PVBC,"Provident Bancorp, Inc.",165.73M,-2.32%,36065,71.12M
654,LCW,Learn CW Investment Corporation,165.37M,0.16%,618,-
655,BRKH,Burtech Acquisition Corp.,164.52M,-,7,-
656,CFFI,C&F Financial Corporation,164.12M,2.47%,10933,119.05M
657,APXI,APx Acquisition Corp. I,161.85M,0.09%,40704,-
658,SOC,Sable Offshore Corp.,160.84M,-0.60%,113963,-
659,ALCY,Alchemy Investments Acquisition Corp 1,158.39M,-,427,-
660,EVBN,"Evans Bancorp, Inc.",156.86M,3.17%,35197,94.11M
661,VABK,Virginia National Bankshares Corporation,154.27M,2.12%,10733,63.42M
662,ISTR,Investar Holding Corporation,153.87M,-0.39%,19176,83.06M
663,MRCC,Monroe Capital Corporation,152.75M,-,66231,64.30M
664,BFAC,Battery Future Acquisition Corp.,152.58M,-0.63%,1002,-
665,ROSS,Ross Acquisition Corp II,151.97M,-0.36%,3149,-
666,OPBK,OP Bancorp,151.65M,0.40%,18424,84.38M
667,CAPT,Captivision Inc.,151.29M,-5.75%,61157,32.75M
668,PEBK,"Peoples Bancorp of North Carolina, Inc.",150.80M,0.22%,27316,76.07M
669,IFIN,InFinT Acquisition Corporation,150.56M,-0.26%,136,-
670,FNWB,First Northwest Bancorp,149.73M,0.58%,42290,76.03M
671,ESHA,ESH Acquisition Corp.,148.53M,-,8539,-
672,BCSA,Blockchain Coinvestors Acquisition Corp. I,148.31M,-0.09%,17663,-
673,TLGY,TLGY Acquisition Corporation,147.28M,-,8,-
674,FUNC,First United Corporation,145.76M,0.32%,35276,75.75M
675,RMBI,"Richmond Mutual Bancorporation, Inc.",144.60M,-3.49%,205732,43.45M
676,VCXB,10X Capital Venture Acquisition Corp. III,142.10M,-0.09%,4,-
677,CNF,CNFinance Holdings Limited,141.97M,0.97%,14233,81.00M
678,AHG,Akso Health Group,141.36M,-21.26%,12182,2.20M
679,SAMG,Silvercrest Asset Management Group Inc.,140.29M,-,74317,117.41M
680,PWOD,"Penns Woods Bancorp, Inc.",140.16M,-0.59%,48248,64.82M
681,OFS,OFS Capital Corporation,139.88M,-0.69%,169204,56.94M
682,MHLD,"Maiden Holdings, Ltd.",139.66M,10.79%,706521,89.23M
683,TWLV,Twelve Seas Investment Company II,139.21M,0.66%,1,-
684,ALSA,Alpha Star Acquisition Corporation,138.51M,-,16501,-
685,ISRL,Israel Acquisitions Corp,138.13M,-0.19%,378,-
686,CFBK,CF Bankshares Inc.,137.33M,-1.53%,5124,50.61M
687,ATEK,Athena Technology Acquisition Corp. II,137.18M,-3.51%,435,-
688,LGVC,LAMF Global Ventures Corp. I,136.91M,0.09%,103,-
689,GSIW,Garden Stage Limited,136.79M,-5.58%,15869,3.26M
690,BANX,ArrowMark Financial Corp.,136.56M,0.26%,13505,-
691,HCMA,HCM Acquisition Corp,136.48M,29.84%,42275,-
692,CNDB,Concord Acquisition Corp III,135.72M,0.09%,107,-
693,MNSB,"MainStreet Bancshares, Inc.",134.89M,2.51%,44088,81.08M
694,NNAG,99 Acquisition Group Inc.,133.26M,-0.10%,4130,-
695,WNNR,Andretti Acquisition Corp.,133.04M,4.26%,879,-
696,FGBI,"First Guaranty Bancshares, Inc.",132.86M,1.03%,15557,95.22M
697,MYFW,"First Western Financial, Inc.",132.60M,0.43%,38925,95.99M
698,VMCA,Valuence Merger Corp. I,132.48M,-0.09%,2058,-
699,UNB,"Union Bankshares, Inc.",132.42M,6.19%,10195,48.79M
700,HWBK,"Hawthorn Bancshares, Inc.",132.06M,3.22%,6337,65.90M
701,CWBC,Community West Bancshares,131.26M,0.81%,21504,49.29M
702,MFH,Mercurity Fintech Holding Inc.,129.55M,0.94%,3705,326.68K
703,FCCO,First Community Corporation,129.46M,-0.12%,55236,59.21M
704,ZLS,Zalatoris II Acquisition Corp.,129.05M,0.19%,6305,-
705,CZWI,"Citizens Community Bancorp, Inc.",128.93M,-0.65%,242602,59.07M
706,UBFO,United Security Bancshares,128.76M,0.93%,15836,53.29M
707,FINW,FinWise Bancorp,128.06M,-,12631,66.03M
708,BFIN,BankFinancial Corporation,127.22M,0.88%,7773,55.93M
709,RMGC,RMG Acquisition Corp. III,127.11M,-,2,-
710,FIAC,Focus Impact Acquisition Corp.,125.98M,0.18%,1,-
711,DSAQ,Direct Selling Acquisition Corp.,125.82M,-0.27%,61955,-
712,ARRW,Arrowroot Acquisition Corp.,125.76M,1.38%,1119,-
713,GATE,Marblegate Acquisition Corp.,125.06M,-0.29%,1,-
714,NPAB,New Providence Acquisition Corp. II,124.16M,0.09%,2,-
715,KCGI,Kensington Capital Acquisition Corp. V,123.70M,-,102,-
716,EVGR,Evergreen Corporation,123.21M,0.09%,24031,-
717,PLMI,Plum Acquisition Corp. I,122.58M,-0.27%,7010,-
718,PPYA,Papaya Growth Opportunity Corp. I,121.05M,-,1,-
719,OPRT,Oportun Financial Corporation,120.49M,-12.78%,1372741,352.01M
720,RCFA,RCF Acquisition Corp.,119.18M,0.45%,4500,-
721,BOCN,Blue Ocean Acquisition Corp.,118.98M,-0.02%,104,-
722,WMPN,William Penn Bancorporation,118.91M,-1.29%,13833,21.96M
723,ECBK,"ECB Bancorp, Inc.",118.75M,1.55%,22279,24.85M
724,IXAQ,IX Acquisition Corp.,116.22M,0.09%,19,-
725,HNVR,"Hanover Bancorp, Inc.",116.03M,0.50%,6855,60.45M
726,FRAF,Franklin Financial Services Corporation,114.90M,1.11%,4844,65.76M
727,CIA,"Citizens, Inc.",114.47M,-5.63%,87129,241.09M
728,FSFG,"First Savings Financial Group, Inc.",114.05M,1.52%,36266,80.32M
